,Year,Place of Info Breach,Method of Breach,Type of Breach,Name of Business,Organization Type,Summary of Events,Individuals Affected
14680,2012,Other Portable Electronic Device,hacked,Loss,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,2376
14683,2012,Other Portable Electronic Device,hacked,Loss,Massive American business hack,Financial,,2376
14691,2012,Other Portable Electronic Device,hacked,Loss,TD Bank,Financial,,2376
14702,2012,Network Server,hacked,"Theft, Unauthorized Access/Disclosure, Hacking/IT Incident",Global Payments,Financial,,13000
14704,2012,Network Server,hacked,"Theft, Unauthorized Access/Disclosure, Hacking/IT Incident","Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,13000
14707,2012,Network Server,hacked,"Theft, Unauthorized Access/Disclosure, Hacking/IT Incident",Massive American business hack,Financial,,13000
14715,2012,Network Server,hacked,"Theft, Unauthorized Access/Disclosure, Hacking/IT Incident",TD Bank,Financial,,13000
14726,2012,Desktop Computer,hacked,Theft,Global Payments,Financial,,27799
14728,2012,Desktop Computer,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,27799
14731,2012,Desktop Computer,hacked,Theft,Massive American business hack,Financial,,27799
14739,2012,Desktop Computer,hacked,Theft,TD Bank,Financial,,27799
14750,2012,Desktop Computer,hacked,Theft,Global Payments,Financial,,116506
14752,2012,Desktop Computer,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,116506
14755,2012,Desktop Computer,hacked,Theft,Massive American business hack,Financial,,116506
14763,2012,Desktop Computer,hacked,Theft,TD Bank,Financial,,116506
14774,2012,Other,hacked,Theft,Global Payments,Financial,,3440
14776,2012,Other,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,3440
14779,2012,Other,hacked,Theft,Massive American business hack,Financial,,3440
14787,2012,Other,hacked,Theft,TD Bank,Financial,,3440
14798,2012,Desktop Computer,hacked,Theft,Global Payments,Financial,,980
14800,2012,Desktop Computer,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,980
14803,2012,Desktop Computer,hacked,Theft,Massive American business hack,Financial,,980
14811,2012,Desktop Computer,hacked,Theft,TD Bank,Financial,,980
14822,2012,Network Server,hacked,Hacking/IT Incident,Global Payments,Financial,,2900
14824,2012,Network Server,hacked,Hacking/IT Incident,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,2900
14827,2012,Network Server,hacked,Hacking/IT Incident,Massive American business hack,Financial,,2900
14835,2012,Network Server,hacked,Hacking/IT Incident,TD Bank,Financial,,2900
14846,2012,Network Server,hacked,"Unauthorized Access/Disclosure, Hacking/IT Incident",Global Payments,Financial,,2600
14848,2012,Network Server,hacked,"Unauthorized Access/Disclosure, Hacking/IT Incident","Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,2600
14851,2012,Network Server,hacked,"Unauthorized Access/Disclosure, Hacking/IT Incident",Massive American business hack,Financial,,2600
14859,2012,Network Server,hacked,"Unauthorized Access/Disclosure, Hacking/IT Incident",TD Bank,Financial,,2600
14870,2012,Paper,hacked,Theft,Global Payments,Financial,,955
14872,2012,Paper,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,955
14875,2012,Paper,hacked,Theft,Massive American business hack,Financial,,955
14883,2012,Paper,hacked,Theft,TD Bank,Financial,,955
14894,2012,Paper,hacked,Improper Disposal,Global Payments,Financial,,500
14896,2012,Paper,hacked,Improper Disposal,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,500
14899,2012,Paper,hacked,Improper Disposal,Massive American business hack,Financial,,500
14907,2012,Paper,hacked,Improper Disposal,TD Bank,Financial,,500
14918,2012,Network Server,hacked,Theft,Global Payments,Financial,"An unencrypted thumb drive that contained the electronic protected health information (ePHI) of 1,017 individuals was stolen by an employee of the covered entity's (CE) business associate (BA), Quanterion Solutions, Inc.  The ePHI included names, addresses, dates of birth, driver's license numbers, social security numbers, claims information, clinical information, diagnosis/conditions, lab results, treatment information, and medications.  Upon discovery of the breach, the CE, Surgical Associates of Utica, PC, filed a police report and the employee was arrested.  The CE provided breach notification to HHS, the media, and affected individuals and provided credit monitoring services for these individuals.  As a result of OCR's investigation, the CE executed a BA agreement. 



",1017
14920,2012,Network Server,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,"An unencrypted thumb drive that contained the electronic protected health information (ePHI) of 1,017 individuals was stolen by an employee of the covered entity's (CE) business associate (BA), Quanterion Solutions, Inc.  The ePHI included names, addresses, dates of birth, driver's license numbers, social security numbers, claims information, clinical information, diagnosis/conditions, lab results, treatment information, and medications.  Upon discovery of the breach, the CE, Surgical Associates of Utica, PC, filed a police report and the employee was arrested.  The CE provided breach notification to HHS, the media, and affected individuals and provided credit monitoring services for these individuals.  As a result of OCR's investigation, the CE executed a BA agreement. 



",1017
14923,2012,Network Server,hacked,Theft,Massive American business hack,Financial,"An unencrypted thumb drive that contained the electronic protected health information (ePHI) of 1,017 individuals was stolen by an employee of the covered entity's (CE) business associate (BA), Quanterion Solutions, Inc.  The ePHI included names, addresses, dates of birth, driver's license numbers, social security numbers, claims information, clinical information, diagnosis/conditions, lab results, treatment information, and medications.  Upon discovery of the breach, the CE, Surgical Associates of Utica, PC, filed a police report and the employee was arrested.  The CE provided breach notification to HHS, the media, and affected individuals and provided credit monitoring services for these individuals.  As a result of OCR's investigation, the CE executed a BA agreement. 



",1017
14931,2012,Network Server,hacked,Theft,TD Bank,Financial,"An unencrypted thumb drive that contained the electronic protected health information (ePHI) of 1,017 individuals was stolen by an employee of the covered entity's (CE) business associate (BA), Quanterion Solutions, Inc.  The ePHI included names, addresses, dates of birth, driver's license numbers, social security numbers, claims information, clinical information, diagnosis/conditions, lab results, treatment information, and medications.  Upon discovery of the breach, the CE, Surgical Associates of Utica, PC, filed a police report and the employee was arrested.  The CE provided breach notification to HHS, the media, and affected individuals and provided credit monitoring services for these individuals.  As a result of OCR's investigation, the CE executed a BA agreement. 



",1017
14942,2012,Paper,hacked,Theft,Global Payments,Financial,,508
14944,2012,Paper,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,508
14947,2012,Paper,hacked,Theft,Massive American business hack,Financial,,508
14955,2012,Paper,hacked,Theft,TD Bank,Financial,,508
14966,2012,Electronic Medical Record,hacked,Theft,Global Payments,Financial,,2560
14968,2012,Electronic Medical Record,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,2560
14971,2012,Electronic Medical Record,hacked,Theft,Massive American business hack,Financial,,2560
14979,2012,Electronic Medical Record,hacked,Theft,TD Bank,Financial,,2560
14990,2012,Other,hacked,Loss,Global Payments,Financial,,14004
14992,2012,Other,hacked,Loss,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,14004
14995,2012,Other,hacked,Loss,Massive American business hack,Financial,,14004
15003,2012,Other,hacked,Loss,TD Bank,Financial,,14004
15014,2012,Paper,hacked,Loss,Global Payments,Financial,,6262
15016,2012,Paper,hacked,Loss,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,6262
15019,2012,Paper,hacked,Loss,Massive American business hack,Financial,,6262
15027,2012,Paper,hacked,Loss,TD Bank,Financial,,6262
15038,2012,Other Portable Electronic Device,hacked,Loss,Global Payments,Financial,,5748
15040,2012,Other Portable Electronic Device,hacked,Loss,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,5748
15043,2012,Other Portable Electronic Device,hacked,Loss,Massive American business hack,Financial,,5748
15051,2012,Other Portable Electronic Device,hacked,Loss,TD Bank,Financial,,5748
15062,2012,Other,hacked,Other,Global Payments,Financial,,18000
15064,2012,Other,hacked,Other,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,18000
15067,2012,Other,hacked,Other,Massive American business hack,Financial,,18000
15075,2012,Other,hacked,Other,TD Bank,Financial,,18000
15086,2012,Desktop Computer,hacked,Hacking/IT Incident,Global Payments,Financial,,674
15088,2012,Desktop Computer,hacked,Hacking/IT Incident,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,674
15091,2012,Desktop Computer,hacked,Hacking/IT Incident,Massive American business hack,Financial,,674
15099,2012,Desktop Computer,hacked,Hacking/IT Incident,TD Bank,Financial,,674
15110,2012,Other Portable Electronic Device,hacked,Theft,Global Payments,Financial,,14511
15112,2012,Other Portable Electronic Device,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,14511
15115,2012,Other Portable Electronic Device,hacked,Theft,Massive American business hack,Financial,,14511
15123,2012,Other Portable Electronic Device,hacked,Theft,TD Bank,Financial,,14511
15134,2012,Desktop Computer,hacked,Theft,Global Payments,Financial,,540
15136,2012,Desktop Computer,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,540
15139,2012,Desktop Computer,hacked,Theft,Massive American business hack,Financial,,540
15147,2012,Desktop Computer,hacked,Theft,TD Bank,Financial,,540
15158,2012,Desktop Computer,hacked,Theft,Global Payments,Financial,,615
15160,2012,Desktop Computer,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,615
15163,2012,Desktop Computer,hacked,Theft,Massive American business hack,Financial,,615
15171,2012,Desktop Computer,hacked,Theft,TD Bank,Financial,,615
15182,2012,Other,hacked,Other,Global Payments,Financial,,2575
15184,2012,Other,hacked,Other,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,2575
15187,2012,Other,hacked,Other,Massive American business hack,Financial,,2575
15195,2012,Other,hacked,Other,TD Bank,Financial,,2575
15206,2012,Paper,hacked,Theft,Global Payments,Financial,,1306
15208,2012,Paper,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,1306
15211,2012,Paper,hacked,Theft,Massive American business hack,Financial,,1306
15219,2012,Paper,hacked,Theft,TD Bank,Financial,,1306
15230,2012,Desktop Computer,hacked,Theft,Global Payments,Financial,,1749
15232,2012,Desktop Computer,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,1749
15235,2012,Desktop Computer,hacked,Theft,Massive American business hack,Financial,,1749
15243,2012,Desktop Computer,hacked,Theft,TD Bank,Financial,,1749
15254,2012,Desktop Computer,hacked,Theft,Global Payments,Financial,,10000
15256,2012,Desktop Computer,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,10000
15259,2012,Desktop Computer,hacked,Theft,Massive American business hack,Financial,,10000
15267,2012,Desktop Computer,hacked,Theft,TD Bank,Financial,,10000
15278,2012,Desktop Computer,hacked,Theft,Global Payments,Financial,,613
15280,2012,Desktop Computer,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,613
15283,2012,Desktop Computer,hacked,Theft,Massive American business hack,Financial,,613
15291,2012,Desktop Computer,hacked,Theft,TD Bank,Financial,,613
15302,2012,Desktop Computer,hacked,Theft,Global Payments,Financial,,715
15304,2012,Desktop Computer,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,715
15307,2012,Desktop Computer,hacked,Theft,Massive American business hack,Financial,,715
15315,2012,Desktop Computer,hacked,Theft,TD Bank,Financial,,715
15326,2012,Desktop Computer,hacked,Theft,Global Payments,Financial,,1548
15328,2012,Desktop Computer,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,1548
15331,2012,Desktop Computer,hacked,Theft,Massive American business hack,Financial,,1548
15339,2012,Desktop Computer,hacked,Theft,TD Bank,Financial,,1548
15350,2012,Network Server,hacked,Unauthorized Access/Disclosure,Global Payments,Financial,,500
15352,2012,Network Server,hacked,Unauthorized Access/Disclosure,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,500
15355,2012,Network Server,hacked,Unauthorized Access/Disclosure,Massive American business hack,Financial,,500
15363,2012,Network Server,hacked,Unauthorized Access/Disclosure,TD Bank,Financial,,500
15374,2012,Paper,hacked,Improper Disposal,Global Payments,Financial,,1100
15376,2012,Paper,hacked,Improper Disposal,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,1100
15379,2012,Paper,hacked,Improper Disposal,Massive American business hack,Financial,,1100
15387,2012,Paper,hacked,Improper Disposal,TD Bank,Financial,,1100
15398,2012,Paper,hacked,Unauthorized Access/Disclosure,Global Payments,Financial,,1370
15400,2012,Paper,hacked,Unauthorized Access/Disclosure,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,1370
15403,2012,Paper,hacked,Unauthorized Access/Disclosure,Massive American business hack,Financial,,1370
15411,2012,Paper,hacked,Unauthorized Access/Disclosure,TD Bank,Financial,,1370
15422,2012,Desktop Computer,hacked,Theft,Global Payments,Financial,,911
15424,2012,Desktop Computer,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,911
15427,2012,Desktop Computer,hacked,Theft,Massive American business hack,Financial,,911
15435,2012,Desktop Computer,hacked,Theft,TD Bank,Financial,,911
15446,2012,Desktop Computer,hacked,Theft,Global Payments,Financial,,774
15448,2012,Desktop Computer,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,774
15451,2012,Desktop Computer,hacked,Theft,Massive American business hack,Financial,,774
15459,2012,Desktop Computer,hacked,Theft,TD Bank,Financial,,774
15470,2012,Desktop Computer,hacked,"Theft, Unauthorized Access/Disclosure",Global Payments,Financial,,1500
